q10,q11,q12,q13,q15,q16,q17,q18,q19,q20,q20b,q22,q24,q31,q112b_fi,q116,q122,q122a,q122b,q125,q139,q142,gender,msa,region,allwt,job,census,state,q3a,cmb1
Wrong track,Somewhat better,Very bad time,Very good time,Don't know VOL, , ,Prices will go up, , ,Rates will go up,Somewhat difficult,Rent,Rent,Not at all concerned,Significantly higher now,Don't know VOL, ,Don't know,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)",Don't know VOL,Male, , ,.336168100458672,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Very bad time,Somewhat good time,Prices will go down,10, ,Prices will go up, ,5,Rates will go up,Very difficult,Rent,Buy,Somewhat concerned,Significantly higher now,40-44,42,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,1.75303803889995,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Very bad time,Very bad time,Don't know VOL, , ,Prices will go up, ,15,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy,Not very concerned,Significantly higher now,65-69,66,65-69,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.199759734575331,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat better,Somewhat bad time,Somewhat bad time,Prices will go down,2, ,Prices will remain about the same, , ,Rates will go up,Very difficult,Live with someone else and don't pay for housing,Rent, ,Significantly lower now,18-20,20,18-20,Single,Black / African-American,"Less than $10,000",Female, , ,.689689040572251,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Somewhat bad time,Don't know VOL,Don't know VOL, , ,Prices will remain about the same, , ,Rates will go up,Don't know VOL,Rent,Rent,Very concerned,Significantly lower now,Don't know VOL, ,Don't know,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$10,000-$14,999",Male, , ,.185792670366486,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Very good time,Very good time,Prices will go up, ,15,Prices will go up, ,15,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,50-54,50,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.795929006800767,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Stay about the same,Somewhat good time,Somewhat good time,Prices will go up, ,5,Prices will go up, ,5,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,50-54,50,50-54,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.964604176859019,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat better,Very bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will go up,Somewhat difficult,Rent,Rent,Not at all concerned,About the same vs. twelve months ago,21-24,24,21-24,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,1.36332792143135,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will go down, , ,Prices will go up, ,20,Rates will remain about the same,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,Significantly lower now,45-49,49,45-49,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.728795083614993,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Don't know VOL,Somewhat good time,Don't know VOL, , ,Prices will go up, ,10,Rates will go down,Somewhat easy,Own your home outright and do not have any debt on it,Don't know VOL,Not at all concerned,About the same vs. twelve months ago,50-54,50,50-54,Married or have an unmarried partner,Don't know VOL,"$35,000-$49,999",Male, , ,.24817462228339,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Stay about the same,Very bad time,Somewhat good time,Prices will go up, ,4,Prices will go up, ,5,Rates will go up,Somewhat easy,Rent,Rent, ,About the same vs. twelve months ago,30-34,34,30-34,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Female, , ,1.91929367093496,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Don't know VOL,Much better,Very good time,Very good time,Prices will remain about the same, , ,Prices will go up, ,25,Rates will remain about the same,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,45-49,46,45-49,Married or have an unmarried partner,Other (DO NOT READ: include refused here),"$200,000+",Female, , ,.420387454799536,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Stay about the same,Very bad time,Somewhat good time,Prices will go down, , ,Prices will go up, , ,Rates will go up,Very difficult,Rent,Buy,Somewhat concerned,About the same vs. twelve months ago,55-59,56,55-59,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$15,000-$24,999",Female, , ,2.96714802570603,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Very bad time,Somewhat bad time,Prices will go down,15, ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,65-69,68,65-69,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$35,000-$49,999",Male, , ,.69352279037773,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Don't know VOL, , ,Prices will go up, , ,Don't know VOL,Somewhat difficult,Rent,Buy,Not at all concerned,Don't know VOL,35-39,38,35-39,Don't know VOL,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)",Don't know VOL,Male, , ,2.00904131987022,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat bad time,Don't know VOL, , ,Prices will go up, , ,Don't know VOL,Somewhat difficult,Rent,Rent, ,Significantly lower now,50-54,53,50-54,Other VOL,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.414916543535787,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Somewhat good time,Very good time,Prices will go up, ,10,Prices will go up, ,10,Rates will remain about the same,Very easy,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,75+,75,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Female, , ,1.22060783869566,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat better,Somewhat bad time,Very good time,Prices will go down,5, ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,75+,76,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.268572978768446,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Stay about the same,Don't know VOL,Don't know VOL,Prices will go up, , ,Prices will go up, , ,Rates will go up,Don't know VOL,Own your home outright and do not have any debt on it,Don't know VOL, ,About the same vs. twelve months ago,75+,77,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,1.33253009751771,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Very bad time,Somewhat bad time,Prices will go up, ,20,Prices will go up, ,20,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,55-59,58,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.744820368104874,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Don't know VOL,Somewhat worse,Somewhat bad time,Somewhat good time,Prices will go down, , ,Don't know VOL, , ,Don't know VOL,Somewhat difficult,Own your home outright and do not have any debt on it,Rent, ,Significantly higher now,70-74,73,70-74,Married or have an unmarried partner,Black / African-American,"Less than $10,000",Male, , ,.821312549333432,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will go down,20, ,Prices will go up, ,10,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,65-69,65,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Female, , ,.763819843789532,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Very bad time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,75+,86,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.245071403523896,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Right track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,10,Rates will remain about the same,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,30-34,32,30-34,Married or have an unmarried partner,Other (DO NOT READ: include refused here),"$100,000-$149,999",Female, , ,1.59007036517773,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat bad time,Prices will go up, ,10,Prices will go up, ,12,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not very concerned,About the same vs. twelve months ago,65-69,65,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.561869545856147,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,10,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,60-64,60,60-64,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,.927543379123568,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Very bad time,Somewhat bad time,Prices will go up, ,5,Prices will remain about the same, , ,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly lower now,60-64,60,60-64,Married or have an unmarried partner,Don't know VOL,Don't know VOL,Male, , ,.152014710643036,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Right track,Somewhat better,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,4,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,45-49,47,45-49,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.996270748973657,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat bad time,Prices will remain about the same, , ,Prices will go up, ,10,Rates will remain about the same,Very easy,Rent,Rent, ,About the same vs. twelve months ago,75+,97,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.627367146897467,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Very bad time,Somewhat bad time,Prices will go up, , ,Prices will go down,20, ,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly higher now,60-64,64,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.358822253594541,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will go down, , ,Prices will go up, ,30,Rates will go up,Somewhat difficult,Rent,Buy,Somewhat concerned,About the same vs. twelve months ago,40-44,44,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,.536765305901803,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much better,Very bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,2,Rates will remain about the same,Somewhat easy,Rent,Rent,Not at all concerned,Significantly lower now,18-20,20,18-20,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$10,000-$14,999",Male, , ,1.15552630574953,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Right track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will go down,15, ,Prices will remain about the same, , ,Rates will remain about the same,Very difficult,Live with someone else and don't pay for housing,Buy, ,About the same vs. twelve months ago,75+,88,75+,Widowed,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$35,000-$49,999",Female, , ,.267587892603402,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Don't know VOL,Stay about the same,Don't know VOL,Don't know VOL,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will remain about the same,Don't know VOL,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,Don't know VOL, ,Don't know,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.806362325305673,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Don't know VOL,Stay about the same,Somewhat bad time,Somewhat good time,Don't know VOL, , ,Don't know VOL, , ,Don't know VOL,Somewhat difficult,Own your home outright and do not have any debt on it,Don't know VOL, ,About the same vs. twelve months ago,75+,83,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,.512146697157173,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Don't know VOL,Don't know VOL,Prices will go up, , ,Prices will go up, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,50-54,50,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,.907560740007605,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Somewhat bad time,Somewhat good time,Prices will go down,20, ,Prices will go up, ,5,Rates will remain about the same,Somewhat easy,Live with someone else and don't pay for housing,Buy,Somewhat concerned,Significantly higher now,35-39,35,35-39,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.149739021134751,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat bad time,Don't know VOL, , ,Don't know VOL, , ,Don't know VOL,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,35-39,37,35-39,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,1.50551486467566,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much better,Very bad time,Very bad time,Prices will go up, ,20,Prices will go up, ,8,Rates will go up,Very difficult,Rent,Buy,Not at all concerned,Significantly lower now,35-39,35,35-39,Widowed,Don't know VOL,"$35,000-$49,999",Female, , ,.25805600971507,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will go up, ,10,Prices will go up, ,20,Rates will remain about the same,Somewhat easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,21-24,21,21-24,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,1.82451643190283,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat better,Very good time,Very good time,Prices will go up, , ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,25-29,27,25-29,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,1.69522634125052,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Stay about the same,Very good time,Somewhat good time,Prices will go up, , ,Prices will go up, ,10,Don't know VOL,Very easy,Rent,Rent, ,About the same vs. twelve months ago,75+,82,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$10,000-$14,999",Female, , ,1.26055979118643,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Don't know VOL,Somewhat bad time,Prices will go down, , ,Prices will go up, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Don't know VOL,Not at all concerned,About the same vs. twelve months ago,70-74,74,70-74,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,.917998026963503,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat better,Somewhat good time,Somewhat bad time,Prices will go down, , ,Prices will go down,2, ,Rates will remain about the same,Somewhat difficult,Live with someone else and don't pay for housing,Buy,Not at all concerned,Significantly higher now,55-59,55,55-59,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$35,000-$49,999",Male, , ,.118980616118297,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Right track,Stay about the same,Very bad time,Very good time,Prices will go down,2, ,Prices will go up, ,5,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,60-64,64,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,.703100563353667,Jun-2022 (26724),Division 1,Massachusetts,Massachusetts,General Population
